Admin,Berhasil login.,07 September 2012,13:01:52
Admin,Keluar program,07 September 2012,13:02:16
Admin,Masuk form penjualan,07 September 2012,13:10:56
Admin,Masuk form pembelian,07 September 2012,13:10:57
Admin,Berhasil login.,07 September 2012,13:10:57
Admin,Keluar program,07 September 2012,13:11:10
Admin,Masuk form penjualan,07 September 2012,13:26:52
Admin,Masuk form pembelian,07 September 2012,13:26:53
Admin,Berhasil login.,07 September 2012,13:26:53
Admin,Keluar program,07 September 2012,13:27:57
Admin,Masuk form penjualan,07 September 2012,13:29:42
Admin,Masuk form pembelian,07 September 2012,13:29:43
Admin,Berhasil login.,07 September 2012,13:29:43
Admin,Keluar program,07 September 2012,13:30:16
Admin,Masuk form penjualan,07 September 2012,16:24:27
Admin,Masuk form pembelian,07 September 2012,16:24:28
Admin,Berhasil login.,07 September 2012,16:24:28
Admin,Masuk form penjualan,07 September 2012,16:25:07
Admin,Masuk form barang,07 September 2012,16:28:27
Admin,Keluar program,07 September 2012,16:31:30
Admin,Masuk form penjualan,07 September 2012,16:33:33
Admin,Masuk form pembelian,07 September 2012,16:33:34
Admin,Berhasil login.,07 September 2012,16:33:34
Admin,Masuk form pengambilan pengguna,07 September 2012,16:33:37
Admin,Masuk form barang,07 September 2012,16:34:52
Admin,Keluar program,07 September 2012,16:35:54
Admin,Masuk form penjualan,07 September 2012,16:36:45
Admin,Masuk form pembelian,07 September 2012,16:36:45
Admin,Berhasil login.,07 September 2012,16:36:45
Admin,Masuk form barang,07 September 2012,16:36:47
Admin,Keluar program,07 September 2012,16:39:22
Admin,Masuk form penjualan,08 September 2012,06:24:38
Admin,Masuk form pembelian,08 September 2012,06:24:39
Admin,Berhasil login.,08 September 2012,06:24:39
Admin,Masuk form penjualan,08 September 2012,06:25:09
Admin,Masuk form penjualan,08 September 2012,06:25:19
Admin,Masuk form penjualan,08 September 2012,06:25:31
Admin,Masuk form penjualan,08 September 2012,06:27:13
Admin,Masuk form penjualan,08 September 2012,06:27:29
Admin,Keluar program,08 September 2012,06:28:20
Admin,Masuk form penjualan,08 September 2012,06:57:03
Admin,Masuk form pembelian,08 September 2012,06:57:04
Admin,Berhasil login.,08 September 2012,06:57:04
Admin,Keluar program,08 September 2012,06:57:14
Admin,Masuk form penjualan,09 September 2012,12:43:33
Admin,Masuk form pembelian,09 September 2012,12:43:35
Admin,Berhasil login.,09 September 2012,12:43:35
Admin,Keluar program,09 September 2012,13:50:15
Admin,Masuk form penjualan,09 September 2012,15:51:04
Admin,Masuk form pembelian,09 September 2012,15:51:05
Admin,Berhasil login.,09 September 2012,15:51:05
Admin,Masuk form barang,09 September 2012,15:51:07
Admin,Masuk form penjualan,09 September 2012,16:03:02
Admin,Masuk form pembelian,09 September 2012,16:03:03
Admin,Berhasil login.,09 September 2012,16:03:03
Admin,Masuk form barang,09 September 2012,16:03:04
Admin,Masuk form Pelanggan,09 September 2012,16:04:08
Admin,Keluar program,09 September 2012,16:04:39
Admin,Masuk form penjualan,10 September 2012,14:07:25
Admin,Masuk form pembelian,10 September 2012,14:07:27
Admin,Berhasil login.,10 September 2012,14:07:27
Admin,Masuk form barang,10 September 2012,14:08:23
